X,Y,osm_id,osm_type,completeness,is_in_health_zone,amenity,speciality,addr_street,operator,water_source,changeset_id,insurance,staff_doctors,contact_number,uuid,electricity,opening_hours,operational_status,source,is_in_health_area,health_amenity_type,changeset_version,emergency,changeset_timestamp,addr_housenumber,addr_postcode,addr_city,name,staff_nurses,changeset_user,wheelchair,beds,url,dispensing,healthcare,operator_type
15.3832478443458,-4.374785456403,6583935767,node,18,,hospital,,imbali,,,72776680,,,,8e3dabd1da6145409a588d82174ecece,,,,,,,3,,2019/07/29 15:44:28,195,,Kinshasa,Imbali médical,,Kimpembe,,,,,,
,,608617203,way,6,,pharmacy,,,,,60795895,,,,533f7381b56347e995878467cb8264ab,,,,,,,1,,2018/07/17 11:02:29,,,,,,christebenya,,,,,,
15.2933898190122,-4.34873810555808,5499321337,node,12,,doctors,,,,,90429110,,,,c5b1bf2d45f44eebac207831484d0587,,,,,,,2,,2020/09/04 18:33:46,,,,Centre de santé Caspor ONG,,clairedelune,yes,,,,,
27.5554788974221,-11.6524457255454,3740388691,node,9,,doctors,,,,,91071268,,,,1662078c0e8c423ea8f9135a4b1aa6ac,,,,,,,3,,2020/09/17 21:11:40,,,,Centre de santé Gamaliel,,clairedelune,,,,,,
,,676541035,way,15,,hospital,,Mama Mobutu,,,72655498,,,,4b8035ea31d4474ba739716c0e5752a4,,,,,,,3,,2019/07/25 17:07:32,,,Kinshasa,CABN,,Her21,,,,,,
28.9678506207362,-4.11937864078413,5375097674,node,15,,doctors,,,,,56552686,,,,b39ea5104eb34ff787219d0aebe72af0,,,,MSFsurvey,,,3,,2018/02/21 15:16:54,,,,Centre de santé,,Jorieke V,,,,,,public
29.1463899360169,0.425519929870632,7417354175,node,9,,doctors,,,,,90493768,,,,32938a9ecee14e32a39e352cac62b839,,,,,,,3,,2020/09/06 21:23:19,,,,Centre de Santé ngazi,,clairedelune,,,,,,
14.8505261813264,-5.24940905700262,7153020415,node,12,,clinic,,,,,79952526,,,,f76979f7b15f4039951f51ddff97d874,,,,,,,1,,2020/01/23 05:50:05,,,,EFAT-EBEL,,Beni DIZOLELE,,,,,clinic,
,,476958794,way,12,,hospital,,,Universté de Kinshasa,,46371864,,,,8166b930334f4309821d52f754a5516f,,,,,,,1,,2017/02/24 16:05:08,,,,Centre hospitalier du Mont-Amba,,Never Fallen,,,,,,
,,759593144,way,12,,hospital,,,,,79013596,,,,37c303a4f38e484ca2ee88f2d996a41e,,,,,,,1,,2019/12/30 12:41:11,,,,Terrain Municipal de Delvaux,,Jay243,,,,,hospital,
29.3166997311237,0.117278290511734,6374102368,node,15,,doctors,,,,,90119356,,,,742ec8ecaf0749c586dcfe0021fe4fa8,,,,OMS-DSNIS,,,4,,2020/08/29 13:07:54,,,,PS Imani ni Dawa,,Muluba,,,,,alternative,
,,676759193,way,18,,pharmacy,,Mpubalo,,,72815889,,,,fa928c4726df4a5492fc26c06ddf3d6c,,,,,,,3,,2019/07/30 14:31:50,24,,Kinshasa,Pharmacie Jires,,Her21,,,,,,
15.3146573895725,-4.39078826976089,7411324680,node,9,,pharmacy,,,,,83655455,,,,e154c9b5ba0f409bbb2da66deed8c610,,,,,,,1,,2020/04/16 14:55:11,,,,Depôt Pharmacuetique Unique,,Never Fallen,,,,,,
,,547232351,way,9,,doctors,,,,,90429110,,,,c60b6ec19bb6405a8355a77eba4b11cc,,,,,,,2,,2020/09/04 18:33:46,,,,Centre de santé OMECO,,clairedelune,,,,,,
,,701369928,way,18,,pharmacy,,Mpasa,,,73112087,,,,2e6b67870f81432db61e2ab74f327b2d,,,,,,,4,,2019/08/07 13:21:00,65,,Kinshasa,Pharmacie Lisungi,,Her21,,,,,,
29.4553949991169,0.514081693878467,6374102961,node,15,,clinic,,,,,90467846,,,,728c14203f124a4380944d69d91c3ddf,,,,OMS-DSNIS,,,6,,2020/09/06 02:04:35,,,,CLIN ARBRE DE VIE,,clairedelune,,,,,clinic,
,,635965043,way,12,,pharmacy,,,,,72824557,,,,09e38db39e9948049ca96af6b1dff967,,,,,,,4,,2019/07/30 18:05:51,,,Kinshasa,Bonheur Pharma,,Her21,,,,,,
,,677615655,way,18,,hospital,,Popo,,,71815819,,,,abcf37d5378448e29fced9c730fa53d5,,,,,,,2,,2019/07/02 10:25:40,7,,Kinshasa,Dieu est bon,,Linard L,,,,,,
15.3571700671924,-4.39241125767239,6293491323,node,18,,doctors,,9 eme rue,,,71369879,,,,606e710874ba452c87aff65e3f3667b8,,,,,,,4,,2019/06/18 15:02:22,31,,Kinshasa,Ma Foi,,Her21,,,,,,
,,596521283,way,18,,pharmacy,,Voie Ferrée,,,72769498,,,,6488a64dc3d5489cb6dae928d0979114,,,,,,,3,,2019/07/29 12:56:49,15,,kinshasa,Frédéric Pharma,,Her21,,,,,,
29.3200116725247,0.163874966633927,6374100779,node,15,,doctors,,,,,90444455,,,,48ee1d0150e945ec8a4760b7a1dcdd30,,,,OMS-DSNIS,,,5,,2020/09/05 09:24:43,,,,Tradipraticien CORESMENA,,Muluba,,,,,alternative,
27.4658772745066,-11.611516640892,3709665506,node,9,,doctors,,,,,91071268,,,,c49ed3cb63a34c8e8b91fdaae7b591b2,,,,,,,3,,2020/09/17 21:11:40,,,,Centre médical Arche de Noé,,clairedelune,,,,,,
15.3472537728239,-4.39843792987318,6588613213,node,18,,pharmacy,,Kemba,,,72948743,,,,92e1dc2d572840cfb5f8749537377c33,,,,,,,2,,2019/08/02 16:27:54,72,,Kinshasa,Blessing pharma,,Her21,,,,,,
,,787479499,way,12,,hospital,,,,,85207923,,,,484bdbc663ac49bd8d5cfd22448e302c,,,,,,,2,,2020/05/14 14:49:49,,,,Les Cliniques BONDEKO,,Jcasas1,,,,,hospital,
28.792537332349,-4.41772603017995,5375073449,node,15,,doctors,,,,,56551843,,,,f390e792c6724169835475cbcdc03ae8,,,,MSFsurvey,,,2,,2018/02/21 14:48:44,,,,Poste de santé,,Jorieke V,,,,,,public
,,643388628,way,18,,doctors,,Bapende,,,90429110,,,,79b80d8064d54c09bea3d6e968ef339e,,,,,,,5,,2020/09/04 18:33:46,9,,kinshasa,Centre de Santé Saint Abel,,clairedelune,,,,,,
15.359176359536,-4.40416880471096,5768598096,node,9,,doctors,,,,,60841467,,,,8f1b3d0f310843ada8e0c2b982d23944,,,,,,,1,,2018/07/18 15:25:43,,,,Maman Moboti,,christebenya,,,,,,
,,792103445,way,12,,hospital,,,,,83586641,,,,9bca18871e5347b5bf0266bb646c890b,,,,,,,1,,2020/04/15 10:53:37,,,,Centre de santé kunda CST dans le Bcz rwampara,,Kanyarwanda,,,,,hospital,
30.3822189972053,1.32803892332689,6374102928,node,15,,health_post,,,,,92314615,,,,dfbfee3955fc48a7995c78def2e53311,,,,Msf,,,5,,2020/10/11 21:40:03,,,,Poste de Santé Salama,,clairedelune,,,,,doctor,
29.3028699261636,0.114399944961946,6374100715,node,15,,doctors,,,,,90444455,,,,26dacafc179e41488b21e37e6403dc4e,,,,OMS-DSNIS,,,5,,2020/09/05 09:24:43,,,,Tradipraticien CAMENA,,Muluba,,,,,alternative,
29.3631790606015,-0.107265938527092,7772394380,node,12,,clinic,,,Comité Local de développement,,88773053,,,,6651c30e4b9848d6930ffe203d5f1038,,,,,,,1,,2020/07/31 09:13:01,,,,Centre de santé Kaniyi,,Faustinius,,,,,,
30.0859664968697,1.75131925007616,8047586609,node,12,,doctors,,,,,93067354,,,,d3613c60fe2f4bd5b00b715ed96e27fe,,,,,,,1,,2020/10/26 14:57:34,,,,Centre de Santé Lisey,,JackBeni,,,,,centre,
29.2929159970499,0.130307539899803,7862014900,node,9,,clinic,,,,,90196999,,,,a55862f22daa41999c12ee17aff5b4ce,,,,,,,1,,2020/08/31 14:18:42,,,,Clinique Santé Mentale,,Muluba,,,,,,
18.9720528948493,-0.972589314641482,5650457335,node,12,,doctors,,,,,90494782,,,,67d8dda9bd424ab18db64301e277e0b2,,,,MSF,,,2,,2020/09/06 22:30:23,,,,Poste de santé Bopita,,clairedelune,,,,,,
28.94500892876,-4.16104633874517,5375089385,node,15,,doctors,,,,,56552686,,,,aee89aec66ca404c96de45a08b20bb24,,,,MSFsurvey,,,3,,2018/02/21 15:16:53,,,,Centre de santé,,Jorieke V,,,,,,public
29.4206509208152,-0.244749015683226,6374000290,node,15,,doctors,,,,,82592423,,,,9eaaf2b868c34e58ade6ec0368dd84ee,,,,OMS-DSNIS,,,5,,2020/03/24 23:40:41,,,,CSR KAGHULI,,clairedelune,,,,,centre,
,,644336053,way,18,,pharmacy,,Ladi,,,72014145,,,,7822c7bbda7d4194ad5b59ccadced3a7,,,,,,,3,,2019/07/08 13:17:00,12,,Kinshasa,Pharmacie Chris Angel,,vick25,,,,,,
29.2438599867175,-1.64610004506676,6374099384,node,15,,health_post,,,,,91578796,,,,8e6b28af5e9c4c7cb9e5989e5bf955fd,,,,"""OMS""",,,7,,2020/09/27 11:07:40,,,,TRADI UFAHAMU,,HiddeWie,,,,,alternative,
